name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Harry Spence,AM (L),,-,ENG,NONE,7,07/11/2006,6080,199,16,Birkenhead,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,NO
Seb Auton,GK,Grimsby,English Football League 2,ENG,ENG4,5,07/11/2006,6080,199,16,Hull,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,NO
Elias Reaney,D (C),Notts Co,English Football League 2,ENG,ENG4,5,06/11/2006,6081,199,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,60,0,0,NO
Tom King,ST (C),Cheltenham,English Football League 1,ENG,ENG3,4,06/11/2006,6081,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Aidan Durkan,AM (RLC),Hull,English Football League Championship,ENG,ENG2,3,06/11/2006,6081,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
Josh Riza,AM (L),Watford,English Football League Championship,ENG,ENG2,3,06/11/2006,6081,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Bilal Hussain,AM (RL),Bradford City,English Football League 2,ENG,ENG4,5,05/11/2006,6082,199,16,-,,ENG,UK & Ireland,ENG,PAK,"5'11""",5,11,180.34,62,0,0,NO
Jay Rogers,AM (R),,-,ENG,NONE,7,05/11/2006,6082,199,16,Altrincham,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,73,0,0,NO
Cole Fisher,ST (C),Plymouth,English Football League Championship,ENG,ENG2,3,05/11/2006,6082,199,16,Plymouth,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Harrison Hazard,WB/M (L),Notts Co,English Football League 2,ENG,ENG4,5,04/11/2006,6083,199,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,58,0,0,NO
Harry Evers,WB (L),Liverpool,English Premier Division,ENG,ENG1,1,03/11/2006,6084,199,16,Manchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Sam Garnham,M (R),,-,ENG,NONE,7,03/11/2006,6084,199,16,Peterborough,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Kristian Clarke,M (C),Nottm Forest,English Premier Division,ENG,ENG1,1,02/11/2006,6085,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
Finley Hunt,ST (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,02/11/2006,6085,199,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Malakai Robinson,M (C),Accrington,English Football League 2,ENG,ENG4,5,02/11/2006,6085,199,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,NO
James Clarke,"DM, M (C)",Rotherham,English Football League Championship,ENG,ENG2,3,01/11/2006,6086,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Alex Baird,GK,Leeds,English Football League Championship,ENG,ENG2,3,01/11/2006,6086,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Tyler Williams,D (LC),Norwich,English Football League Championship,ENG,ENG2,3,01/11/2006,6086,200,16,London,,ENG,UK & Ireland,ENG,GUY,"5'11""",5,11,180.34,69,0,0,YES
Torin Ntege,AM (RL),Peterborough,English Football League 1,ENG,ENG3,4,01/11/2006,6086,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Leon Brooks,D (C),Bradford City,English Football League 2,ENG,ENG4,5,01/11/2006,6086,200,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,76,0,0,NO
Will Tubbs,GK,Forest Green,English Football League 2,ENG,ENG4,5,31/10/2006,6087,200,16,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,79,0,0,NO
Jerae Jones,AM (RL),Reading,English Football League 1,ENG,ENG3,4,31/10/2006,6087,200,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Lucas Pitt,D (RC),Liverpool,English Premier Division,ENG,ENG1,1,31/10/2006,6087,200,16,Ormskirk,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Matthew Ireland,D/WB (L),Northampton,English Football League 1,ENG,ENG3,4,30/10/2006,6088,200,16,Stirling,,SCO,UK & Ireland,ENG,SCO,"5'8""",5,8,172.72,58,0,0,YES
Joe Boggan,ST (C),Blackburn,English Football League Championship,ENG,ENG2,3,30/10/2006,6088,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,61,0,0,YES
Rhys Chadwick,D (C),Leeds,English Football League Championship,ENG,ENG2,3,30/10/2006,6088,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,YES
Joel Sala,WB (L),Watford,English Football League Championship,ENG,ENG2,3,30/10/2006,6088,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Jacob Safa,AM (C),Charlton,English Football League 1,ENG,ENG3,4,29/10/2006,6089,200,16,-,,ENG,UK & Ireland,ENG,IRN,"5'9""",5,9,175.26,60,0,0,YES
Clae Ewing,M (L),Liverpool,English Premier Division,ENG,ENG1,1,29/10/2006,6089,200,16,Bury,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Felix Elliott,GK,Middlesbrough,English Football League Championship,ENG,ENG2,3,29/10/2006,6089,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Joe Batty,D/WB (R),Hull,English Football League Championship,ENG,ENG2,3,29/10/2006,6089,200,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,YES
Luca Furnell-Gill,D (C),Liverpool,English Premier Division,ENG,ENG1,1,29/10/2006,6089,200,16,Keighley,,ENG,UK & Ireland,ENG,TRI,"6'2""",6,2,187.96,75,0,0,YES
Jared Myler,D (C),,-,ENG,NONE,7,28/10/2006,6090,200,16,Ellesmere Port,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,NO
Che Gardner,AM (L),Stockport,English Football League 2,ENG,ENG4,5,28/10/2006,6090,200,16,Manchester,,ENG,UK & Ireland,ENG,JAM,"5'8""",5,8,172.72,53,0,0,NO
Fran Cumiskey,D (L),,-,ENG,NONE,7,28/10/2006,6090,200,16,Lancaster,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,NO
Divine Onyemachi,AM (R),West Brom,English Football League Championship,ENG,ENG2,3,28/10/2006,6090,200,16,London,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,75,0,0,YES
Seb Drummond,D (C),Crewe,English Football League 2,ENG,ENG4,5,27/10/2006,6091,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,NO
Ryan Andrews,GK,Sheff Utd,English Premier Division,ENG,ENG1,1,27/10/2006,6091,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Nathaniel Muenda,D/WB (R),Shrewsbury,English Football League 1,ENG,ENG3,4,27/10/2006,6091,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Olabade Aluko,D (R),Leicester,English Football League Championship,ENG,ENG2,3,27/10/2006,6091,200,16,London,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,YES
George Lord,GK,Bradford City,English Football League 2,ENG,ENG4,5,26/10/2006,6092,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,67,0,0,NO
Callum Cudworth,D (L),,-,ENG,NONE,7,26/10/2006,6092,200,16,Bolton,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,61,0,0,NO
Jason Browne,D (C),,-,ENG,NONE,7,26/10/2006,6092,200,16,Kingston upon Thames,,ENG,UK & Ireland,ENG,BRB,"5'10""",5,10,177.8,70,0,0,NO
Jason Herczeg,AM (L),,-,ENG,NONE,7,25/10/2006,6093,200,16,Runcorn,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,NO
Marcus Hill,GK,Crystal Palace,English Premier Division,ENG,ENG1,1,25/10/2006,6093,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,61,0,0,YES
Marc Rijsdijk,D (R),,-,ENG,NONE,7,25/10/2006,6093,200,16,Zeewolde,,NED,Central Europe,ENG,NED,"5'9""",5,9,175.26,61,0,0,NO
Kane Richardson,"DM, M (C)",Rotherham,English Football League Championship,ENG,ENG2,3,25/10/2006,6093,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,YES
Tanil Salik,AM (R),Stevenage,English Football League 1,ENG,ENG3,4,24/10/2006,6094,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Macsen Lallana,AM (R),,-,ENG,NONE,7,24/10/2006,6094,200,16,Lowestoft,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,75,0,0,NO
Kai-Reece Adams-Collman,DM,Crystal Palace,English Premier Division,ENG,ENG1,1,24/10/2006,6094,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Oliver Bellizia,GK,Fleetwood,English Football League 1,ENG,ENG3,4,23/10/2006,6095,200,16,Birmingham,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Alfie Bradshaw,AM (C),Nottm Forest,English Premier Division,ENG,ENG1,1,23/10/2006,6095,200,16,Leeds,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
Frankie Shepherd,GK,Harrogate,English Football League 2,ENG,ENG4,5,23/10/2006,6095,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Sam Morris,GK,Watford,English Football League Championship,ENG,ENG2,3,23/10/2006,6095,200,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,67,0,0,YES
Amar Sanghrajka,M (C),Watford,English Football League Championship,ENG,ENG2,3,23/10/2006,6095,200,16,-,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,51,0,0,YES
Leon Elliott,D (C),Crystal Palace,English Premier Division,ENG,ENG1,1,22/10/2006,6096,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Finley Axcell,D (C),Grimsby,English Football League 2,ENG,ENG4,5,22/10/2006,6096,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,NO
Connor May,AM (C),Portsmouth,English Football League 1,ENG,ENG3,4,22/10/2006,6096,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Chase Medwynter,ST (C),MK Dons,English Football League 2,ENG,ENG4,5,22/10/2006,6096,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Kain Drench,DM,,-,ENG,NONE,7,21/10/2006,6097,200,16,Preston,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,NO
Louis Brady,GK,West Brom,English Football League Championship,ENG,ENG2,3,21/10/2006,6097,200,16,Sutton,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,YES
Mason Fleming,D (C),Carlisle,English Football League 1,ENG,ENG3,4,20/10/2006,6098,200,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,YES
Luca Whitney,ST (C),Shrewsbury,English Football League 1,ENG,ENG3,4,20/10/2006,6098,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Louie Copley,AM (C),Arsenal,English Premier Division,ENG,ENG1,1,20/10/2006,6098,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Adam Harrison,GK,Newcastle,English Premier Division,ENG,ENG1,1,20/10/2006,6098,200,16,Newcastle,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,YES
Isaac Gordon,D/WB (R),Derby,English Football League 1,ENG,ENG3,4,20/10/2006,6098,200,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,YES
Kacey Wooster,ST (C),Newcastle,English Premier Division,ENG,ENG1,1,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Charlie Parks,D (C),Lincoln,English Football League 1,ENG,ENG3,4,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,,"6'7""",6,7,200.66,80,0,0,YES
Ethan Cann,D (C),Charlton,English Football League 1,ENG,ENG3,4,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Ben Furlong,M (C),Crewe,English Football League 2,ENG,ENG4,5,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Leo Jenkins,D (C),Northampton,English Football League 1,ENG,ENG3,4,19/10/2006,6099,200,16,Bedford,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Junior Nkeng,AM (R),AFC Wimbledon,English Football League 2,ENG,ENG4,5,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,52,0,0,NO
Harold William,D (C),Bournemouth,English Premier Division,ENG,ENG1,1,19/10/2006,6099,200,16,-,,ENG,UK & Ireland,ENG,NGA,"6'0""",6,0,182.88,69,0,0,YES
Tom Cartwright,D (C),Northampton,English Football League 1,ENG,ENG3,4,18/10/2006,6100,200,16,Kettering,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Ollie Taylor,DM,Mansfield,English Football League 2,ENG,ENG4,5,18/10/2006,6100,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
Amarn Robinson,ST (C),Nottm Forest,English Premier Division,ENG,ENG1,1,18/10/2006,6100,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Fran Gallardo,AM (R),,-,ENG,NONE,7,18/10/2006,6100,200,16,Zaragoza,,ESP,Western Europe,ENG,ESP,"5'8""",5,8,172.72,59,0,0,NO
Alex Cooksley,M (L),,-,ENG,NONE,7,18/10/2006,6100,200,16,Basingstoke,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,75,0,0,NO
Stan Hewitt,AM (RLC),Hull,English Football League Championship,ENG,ENG2,3,17/10/2006,6101,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,66,0,0,YES
Kirsten Otchere,AM (C),Leicester,English Football League Championship,ENG,ENG2,3,16/10/2006,6102,200,16,Milton Keynes,,ENG,UK & Ireland,ENG,GHA,"6'3""",6,3,190.5,71,0,0,YES
Emmanuel Osho,D (RC),Reading,English Football League 1,ENG,ENG3,4,16/10/2006,6102,200,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Aleks Jevterevs,ST (C),Northampton,English Football League 1,ENG,ENG3,4,16/10/2006,6102,200,16,Northampton,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,71,0,0,YES
Tom Senior,D (C),Barnsley,English Football League 1,ENG,ENG3,4,16/10/2006,6102,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Max Davies,D (C),Blackburn,English Football League Championship,ENG,ENG2,3,15/10/2006,6103,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Fran Cherchi,AM (LC),West Brom,English Football League Championship,ENG,ENG2,3,15/10/2006,6103,200,16,Gloucester,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,YES
Kelvin Kargbo,AM (L),AFC Wimbledon,English Football League 2,ENG,ENG4,5,14/10/2006,6104,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,51,0,0,NO
Kalum Twyford,D (R),,-,ENG,NONE,7,14/10/2006,6104,200,16,Birmingham,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,54,0,0,NO
Sheikh Sohna,M (C),Accrington,English Football League 2,ENG,ENG4,5,13/10/2006,6105,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,NO
Marc Grainger,GK,,-,ENG,NONE,7,13/10/2006,6105,200,16,Crewe,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Leo Ryder,D (R),,-,ENG,NONE,7,13/10/2006,6105,200,16,Chesterfield,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,75,0,0,NO
Zaid Betteka,AM (RL),Birmingham,English Football League Championship,ENG,ENG2,3,12/10/2006,6106,200,16,-,,ENG,UK & Ireland,ENG,SOM,"5'7""",5,7,170.18,55,0,0,YES
Jenson Kilroy,GK,Walsall,English Football League 2,ENG,ENG4,5,12/10/2006,6106,200,16,Birmingham,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,NO
Malachi Ogunleye,"DM, M (C)",Bournemouth,English Premier Division,ENG,ENG1,1,11/10/2006,6107,200,16,Southampton,,ENG,UK & Ireland,ENG,NGA,"5'8""",5,8,172.72,61,0,0,YES
Owen Warburton,M (C),Barnsley,English Football League 1,ENG,ENG3,4,11/10/2006,6107,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Manu Wales,AM (C),Charlton,English Football League 1,ENG,ENG3,4,11/10/2006,6107,200,16,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,77,0,0,YES
Joe Davies,ST (C),Peterborough,English Football League 1,ENG,ENG3,4,11/10/2006,6107,200,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,54,0,0,YES
CJ Nyakuhwa,M/AM (R),Notts Co,English Football League 2,ENG,ENG4,5,11/10/2006,6107,200,16,-,,ENG,UK & Ireland,ENG,ZIM,"5'3""",5,3,160.02,50,0,0,NO
Harvey Scott,D (L),Mansfield,English Football League 2,ENG,ENG4,5,10/10/2006,6108,200,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,NO
Harley Price,GK,Derby,English Football League 1,ENG,ENG3,4,10/10/2006,6108,200,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Peter Holmes,"DM, M (C)",Cambridge,English Football League 1,ENG,ENG3,4,10/10/2006,6108,200,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Harry Dawson,D (R),Cambridge,English Football League 1,ENG,ENG3,4,10/10/2006,6108,200,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,YES
Theo Cutler,ST (C),Exeter,English Football League 1,ENG,ENG3,4,10/10/2006,6108,200,16,Dorchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Yasin Al-Abbas,"D (C), DM, M (C)",Accrington,English Football League 2,ENG,ENG4,5,09/10/2006,6109,200,16,-,,ENG,UK & Ireland,ENG,PAK,"5'7""",5,7,170.18,54,0,0,NO
Tyler Whyte,D (R),Crystal Palace,English Premier Division,ENG,ENG1,1,09/10/2006,6109,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Cole Simms,ST (C),Wigan,English Football League 1,ENG,ENG3,4,08/10/2006,6110,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Elisha Sowunmi,AM (C),West Ham,English Premier Division,ENG,ENG1,1,08/10/2006,6110,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,YES
Sam Sands,ST (C),,-,ENG,NONE,7,08/10/2006,6110,200,16,Desborough,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,NO
Jack Wint,GK,Man City,English Premier Division,ENG,ENG1,1,08/10/2006,6110,200,16,Stockport,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,YES
Neil Clarke,M/AM (R),,-,ENG,NONE,7,08/10/2006,6110,200,16,Hillingdon,,ENG,UK & Ireland,ENG,,"4'11""",4,11,149.86,50,0,0,NO
Gabriel Keita,D (C),Norwich,English Football League Championship,ENG,ENG2,3,08/10/2006,6110,200,16,-,,ENG,UK & Ireland,ENG,BEL,"5'10""",5,10,177.8,70,0,0,YES
Jordan Whitehorne,AM (L),,-,ENG,NONE,7,08/10/2006,6110,200,16,Scarborough,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,54,0,0,NO
Tom Way,GK,Cheltenham,English Football League 1,ENG,ENG3,4,07/10/2006,6111,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,YES
Liam Brazier,M/AM (C),Port Vale,English Football League 1,ENG,ENG3,4,07/10/2006,6111,200,16,Stoke-on-Trent,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,56,0,0,YES
Cailen Beckford,D (R),Walsall,English Football League 2,ENG,ENG4,5,07/10/2006,6111,200,16,Sutton Coldfield,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,NO
Dennis Bossman,ST (C),Reading,English Football League 1,ENG,ENG3,4,07/10/2006,6111,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Dante Orr,D (R),Tottenham,English Premier Division,ENG,ENG1,1,06/10/2006,6112,200,16,Welwyn Garden City,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Freddie Taylor,D (R),Brentford,English Premier Division,ENG,ENG1,1,05/10/2006,6113,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,YES
Cohen Lee,"DM, M (C)",Rotherham,English Football League Championship,ENG,ENG2,3,05/10/2006,6113,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,YES
Harvey Kirby-Moore,ST (C),Shrewsbury,English Football League 1,ENG,ENG3,4,05/10/2006,6113,200,16,Leicester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Daniel Shaw,M/AM (C),Blackburn,English Football League Championship,ENG,ENG2,3,04/10/2006,6114,200,16,Coventry,,ENG,UK & Ireland,ENG,IRL,"6'1""",6,1,185.42,69,0,0,YES
Ethan Scott,AM (L),Middlesbrough,English Football League Championship,ENG,ENG2,3,04/10/2006,6114,200,16,Durham,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,YES
Tristan Gill,D/WB (L),Derby,English Football League 1,ENG,ENG3,4,04/10/2006,6114,200,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,YES
Harvey Watts,M/AM (R),Shrewsbury,English Football League 1,ENG,ENG3,4,04/10/2006,6114,200,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,77,0,0,YES
Kasway Burton,ST (C),Oxford United,English Football League 1,ENG,ENG3,4,03/10/2006,6115,200,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Aston Daley,M (C),Southampton,English Football League Championship,ENG,ENG2,3,03/10/2006,6115,200,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Ellis Lehane,ST (C),Tottenham,English Premier Division,ENG,ENG1,1,02/10/2006,6116,200,16,Hillingdon,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Ahri Chaddah,D/WB (L),Notts Co,English Football League 2,ENG,ENG4,5,02/10/2006,6116,200,16,-,,ENG,UK & Ireland,ENG,IND,"5'4""",5,4,162.56,50,0,0,NO
Fraser Harper,M/AM (C),Wolves,English Premier Division,ENG,ENG1,1,02/10/2006,6116,200,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Jamaldeen Jimoh,M (C),Aston Villa,English Premier Division,ENG,ENG1,1,02/10/2006,6116,200,16,-,,ENG,UK & Ireland,ENG,,"5'2""",5,2,157.48,50,0,0,YES
Triston Rowe,D (C),Aston Villa,English Premier Division,ENG,ENG1,1,02/10/2006,6116,200,16,Birmingham,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Leo Ramírez-Espain,M (R),Watford,English Football League Championship,ENG,ENG2,3,02/10/2006,6116,200,16,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,50,0,0,YES
Daniel Batty,M (C),Man City,English Premier Division,ENG,ENG1,1,30/09/2006,6118,201,16,Stalybridge,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Callum Mackley,D (C),Brighton,English Premier Division,ENG,ENG1,1,30/09/2006,6118,201,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Kobe Wilkes,D (RC),Walsall,English Football League 2,ENG,ENG4,5,29/09/2006,6119,201,16,West Bromwich,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,NO
Jaden Dixon,D (R),Stoke,English Football League Championship,ENG,ENG2,3,29/09/2006,6119,201,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,YES
Reece Jhuti,D (R),Leyton Orient,English Football League 1,ENG,ENG3,4,29/09/2006,6119,201,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,YES
Elliott Probert,M (C),Barnsley,English Football League 1,ENG,ENG3,4,29/09/2006,6119,201,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,YES
Luca Moore,M (C),Crewe,English Football League 2,ENG,ENG4,5,28/09/2006,6120,201,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Jack McEvilly,WB (L),Burnley,English Premier Division,ENG,ENG1,1,28/09/2006,6120,201,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,61,0,0,YES
Mikel Francis,M (C),Brentford,English Premier Division,ENG,ENG1,1,28/09/2006,6120,201,16,-,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,65,0,0,YES
Bobby Skinner,M (C),Carlisle,English Football League 1,ENG,ENG3,4,27/09/2006,6121,201,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,61,0,0,YES
Denis Travin,M (C),Oxford United,English Football League 1,ENG,ENG3,4,27/09/2006,6121,201,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Charlie Bolding,M (C),Watford,English Football League Championship,ENG,ENG2,3,27/09/2006,6121,201,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Steven King,M (L),,-,ENG,NONE,7,26/09/2006,6122,201,16,Bristol,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,50,0,0,NO
Archie Davis,"D (C), ST (C)",Stockport,English Football League 2,ENG,ENG4,5,26/09/2006,6122,201,16,Manchester,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,88,0,0,NO
Myles Lewis-Skelly,M (C),Arsenal,English Premier Division,ENG,ENG1,1,26/09/2006,6122,201,16,-,,ENG,UK & Ireland,ENG,BRB,"5'10""",5,10,177.8,65,0,0,YES
